cohort,site,id,mouse,arm,stratum,group,Tx,weight_age,entry,body_weight,weight_z_matched,matched_quartile,standardization_weight,comparison_reuse_count,lifespan_days,dead,mean_treatment_weight_effect_g
C2004,UM,UM04144,C2004|UM04144,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,44.700001,1.5552561986116158,4,0.037037037037037035,1,526,1,-1.1769238713460823
C2004,UM,UM04151,C2004|UM04151,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,36.299999,-0.12941561398055093,2,0.037037037037037035,1,828,1,-1.1769238713460823
C2004,UM,UM04158,C2004|UM04158,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.5,0.11125193107270177,3,0.038461538461538464,1,840,1,-1.1769238713460823
C2004,UM,UM04256,C2004|UM04256,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.5,0.5123641719012555,3,0.038461538461538464,1,1161,1,-1.1769238713460823
C2004,UM,UM04263,C2004|UM04263,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.099998,0.4321413226233038,3,0.038461538461538464,1,811,1,-1.1769238713460823
C2004,UM,UM04270,C2004|UM04270,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.299999,-1.3327523364662122,1,0.038461538461538464,1,1161,1,-1.1769238713460823
C2004,UM,UM04319,C2004|UM04319,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,45.0,1.6154228341797783,4,0.037037037037037035,1,976,1,-1.1769238713460823
C2004,UM,UM04326,C2004|UM04326,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,45.099998,1.635478045108965,4,0.037037037037037035,1,304,1,-1.1769238713460823
C2004,UM,UM04333,C2004|UM04333,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,38.0,0.2115299912798402,3,0.038461538461538464,1,776,1,-1.1769238713460823
C2004,UM,UM04578,C2004|UM04578,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,38.700001,0.3519194761259545,3,0.038461538461538464,1,868,1,-1.1769238713460823
C2004,UM,UM04585,C2004|UM04585,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,43.799999,1.3747552891265256,4,0.037037037037037035,1,989,1,-1.1769238713460823
C2004,UM,UM04592,C2004|UM04592,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,44.200001,1.4549781384044773,4,0.037037037037037035,1,589,1,-1.1769238713460823
C2004,UM,UM04725,C2004|UM04725,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.5,0.5123641719012555,3,0.038461538461538464,1,544,1,-1.1769238713460823
C2004,UM,UM04732,C2004|UM04732,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.0,0.010973870865563343,2,0.037037037037037035,1,1024,1,-1.1769238713460823
C2004,UM,UM04739,C2004|UM04739,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.299999,0.6728088676765566,3,0.038461538461538464,1,822,1,-1.1769238713460823
C2004,UM,UM04809,C2004|UM04809,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.5,-0.6909725505844057,2,0.037037037037037035,1,832,1,-1.1769238713460823
C2004,UM,UM04816,C2004|UM04816,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.700001,-0.6508611259454299,2,0.037037037037037035,1,778,1,-1.1769238713460823
C2004,UM,UM04823,C2004|UM04823,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.299999,-0.7310839752233815,2,0.037037037037037035,1,835,1,-1.1769238713460823
C2004,UM,UM04907,C2004|UM04907,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,28.299999,-1.7338645772947658,1,0.038461538461538464,1,1048,1,-1.1769238713460823
C2004,UM,UM04914,C2004|UM04914,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,42.099998,1.0338096838661344,4,0.037037037037037035,1,863,1,-1.1769238713460823
C2004,UM,UM04921,C2004|UM04921,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.400002,0.09119672014351504,3,0.038461538461538464,1,859,1,-1.1769238713460823
C2004,UM,UM01561,C2004|UM01561,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.299999,-0.11685427539568659,2,0.09090909090909091,1,768,1,-1.1769238713460823
C2004,UM,UM01568,C2004|UM01568,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.200001,-0.42932518822423343,2,0.09090909090909091,1,1120,1,-1.1769238713460823
C2004,UM,UM01575,C2004|UM01575,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,30.6,-0.5997644619029499,2,0.09090909090909091,1,1047,1,-1.1769238713460823
C2004,UM,UM01582,C2004|UM01582,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,37.5,1.360283918654991,4,0.09090909090909091,1,761,1,-1.1769238713460823
C2004,UM,UM01589,C2004|UM01589,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.299999,-0.11685427539568659,3,0.09090909090909091,1,698,1,-1.1769238713460823
C2004,UM,UM01596,C2004|UM01596,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,34.700001,0.5649022511892151,4,0.09090909090909091,1,619,1,-1.1769238713460823
C2004,UM,UM01659,C2004|UM01659,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,35.900002,0.905780514481666,4,0.09090909090909091,1,939,1,-1.1769238713460823
C2004,UM,UM01666,C2004|UM01666,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,34.099998,0.39446240938053273,3,0.09090909090909091,1,316,1,-1.1769238713460823
C2004,UM,UM01673,C2004|UM01673,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,39.400002,1.9000079538951145,4,0.09090909090909091,1,860,1,-1.1769238713460823
C2004,UM,UM02072,C2004|UM02072,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.4,-0.37251247575130525,2,0.09090909090909091,1,1116,1,-1.1769238713460823
C2004,UM,UM02079,C2004|UM02079,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.0,-0.2020734861375708,2,0.09090909090909091,1,1106,1,-1.1769238713460823
C2004,UM,UM02086,C2004|UM02086,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.599998,-0.03163506465380235,3,0.09090909090909091,1,874,1,-1.1769238713460823
C2004,UM,UM02142,C2004|UM02142,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.299999,-0.4009192580852433,2,0.09090909090909091,1,782,1,-1.1769238713460823
C2004,UM,UM02149,C2004|UM02149,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.200001,-0.42932518822423343,2,0.09090909090909091,1,862,1,-1.1769238713460823
C2004,UM,UM02156,C2004|UM02156,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,27.799999,-1.395146697498692,1,0.09090909090909091,1,1267,1,-1.1769238713460823
C2004,UM,UM02366,C2004|UM02366,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,29.299999,-0.9690492234643567,1,0.09090909090909091,1,1124,1,-1.1769238713460823
C2004,UM,UM02373,C2004|UM02373,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,30.6,-0.5997644619029499,2,0.09090909090909091,1,1142,1,-1.1769238713460823
C2004,UM,UM02380,C2004|UM02380,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.700001,-0.2872926968794551,2,0.09090909090909091,1,771,1,-1.1769238713460823
C2004,UM,UM02569,C2004|UM02569,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,29.799999,-0.8270167321195784,1,0.09090909090909091,1,1226,1,-1.1769238713460823
C2004,UM,UM02576,C2004|UM02576,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,29.200001,-0.9974551536033468,1,0.09090909090909091,1,1090,1,-1.1769238713460823
C2004,UM,UM02583,C2004|UM02583,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,26.799999,-1.6792116801882486,1,0.09090909090909091,1,1104,1,-1.1769238713460823
C2004,UM,UM03262,C2004|UM03262,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,28.700001,-1.1394876449481253,1,0.09090909090909091,1,805,1,-1.1769238713460823
C2004,UM,UM03269,C2004|UM03269,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.799999,0.025178215949091774,3,0.09090909090909091,1,676,1,-1.1769238713460823
C2004,UM,UM03276,C2004|UM03276,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,29.5,-0.9122359428614626,1,0.09090909090909091,1,1084,1,-1.1769238713460823
C2004,UM,UM03409,C2004|UM03409,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,36.900002,1.1898454971712227,4,0.09090909090909091,1,855,1,-1.1769238713460823
C2004,UM,UM03416,C2004|UM03416,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,40.200001,2.127259655981777,4,0.09090909090909091,1,962,1,-1.1769238713460823
C2004,UM,UM03423,C2004|UM03423,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,31.299999,-0.4009192580852433,2,0.09090909090909091,1,998,1,-1.1769238713460823
C2004,UM,UM03479,C2004|UM03479,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.599998,-0.03163506465380235,3,0.09090909090909091,1,838,1,-1.1769238713460823
C2004,UM,UM03493,C2004|UM03493,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,36.5,1.0762189359654344,4,0.09090909090909091,1,333,1,-1.1769238713460823
C2004,UM,UM03528,C2004|UM03528,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,34.200001,0.42286975984443675,3,0.09090909090909091,1,911,1,-1.1769238713460823
C2004,UM,UM03535,C2004|UM03535,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.700001,-0.0032277141898983384,3,0.09090909090909091,1,1173,1,-1.1769238713460823
C2004,UM,UM03542,C2004|UM03542,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,33.200001,0.13880477715488002,3,0.09090909090909091,1,609,1,-1.1769238713460823
C2004,UM,UM03549,C2004|UM03549,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,42.900002,2.894235393308563,4,0.09090909090909091,1,1049,1,-1.1769238713460823
C2004,UM,UM03556,C2004|UM03556,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,35.299999,0.7353406726729835,4,0.09090909090909091,1,619,1,-1.1769238713460823
C2004,UM,UM03563,C2004|UM03563,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,34.599998,0.5364949007253111,3,0.09090909090909091,1,752,1,-1.1769238713460823
C2004,UM,UM03612,C2004|UM03612,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,36.299999,1.0194056553625404,4,0.09090909090909091,1,677,1,-1.1769238713460823
C2004,UM,UM03619,C2004|UM03619,C2004|NDGA,C2004|NDGA|UM,NDGA,1,6,182.625,32.099998,-0.17366755599858072,2,0.09090909090909091,1,928,1,-1.1769238713460823
