cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2010,ND_hi,TJL,f,32.705263157894734,853.5,96,48,0.0285906113315361,0.1857152017294257,1.0290032459646523,869.0,873.0,0.46029919447640966,C2010|TJL,C2010|TJL|f
C2010,ND_hi,UM,m,33.75757575757576,883.0,99,51,-0.0306184079185951,0.1828518416742325,0.9698455878706952,927.0,881.0,-4.962243797195254,C2010|UM,C2010|UM|m
C2010,ND_hi,UM,f,25.860439560439563,916.0,92,44,-0.1011264799033503,0.1933528560687105,0.903818710753108,942.0,947.0,0.5307855626326964,C2010|UM,C2010|UM|f
C2010,ND_hi,UT,m,41.24444444444445,732.0,99,51,-0.5836361144421266,0.1879023919776075,0.5578662088466103,734.0,884.0,20.435967302452315,C2010|UT,C2010|UT|m
C2010,ND_hi,UT,f,31.032608695652176,895.0,92,44,0.3561412025812281,0.1983248548836252,1.4278091443672507,917.0,847.0,-7.633587786259542,C2010|UT,C2010|UT|f
C2010,ND_lo,TJL,m,43.255102040816325,671.5,102,54,-0.1658165150436052,0.1957947896568091,0.8472016686902545,688.0,781.0,13.517441860465116,C2010|TJL,C2010|TJL|m
C2010,ND_lo,UM,m,33.75757575757576,883.0,99,51,-0.2063738526838896,0.1837772684631564,0.8135288794690548,927.0,999.0,7.766990291262136,C2010|UM,C2010|UM|m
C2010,ND_lo,UT,m,41.24444444444445,732.0,99,51,-0.3469784228849115,0.1849759114079779,0.706820579242198,734.0,815.0,11.035422343324251,C2010|UT,C2010|UT|m
C2010,ND_mid,TJL,m,43.255102040816325,671.5,102,54,-0.3177227667353322,0.1890824955011316,0.7278045320747436,688.0,802.0,16.569767441860463,C2010|TJL,C2010|TJL|m
C2010,ND_mid,UM,m,33.75757575757576,883.0,99,51,-0.0710265720778054,0.1870458456226228,0.93143714157856,927.0,946.0,2.0496224379719523,C2010|UM,C2010|UM|m
C2010,ND_mid,UT,m,41.24444444444445,732.0,99,51,-0.3673278576861404,0.1804195918758927,0.6925825393084466,734.0,829.0,12.942779291553133,C2010|UT,C2010|UT|m
C2011,17aE2,TJL,m,41.25,767.0,102,54,-0.8041010516699623,0.182248986332634,0.4474900162061476,771.0,957.0,24.124513618677042,C2011|TJL,C2011|TJL|m
C2011,17aE2,TJL,f,30.795180722891565,890.0,96,48,0.1552095824925599,0.180303847202903,1.1679027074174462,892.0,862.0,-3.3632286995515694,C2011|TJL,C2011|TJL|f
C2011,17aE2,UM,m,34.847058823529416,829.0,105,51,-0.5521006865128061,0.1916925322105215,0.5757390918105697,868.0,940.0,8.294930875576037,C2011|UM,C2011|UM|m
C2011,17aE2,UM,f,27.746,870.5,100,44,0.0611658530278498,0.1850450997220401,1.0630752138099206,873.0,835.0,-4.352806414662084,C2011|UM,C2011|UM|f
C2011,17aE2,UT,m,42.49797979797979,715.0,99,51,-0.5367728100264351,0.1812069594424122,0.5846319295483727,715.0,876.0,22.517482517482517,C2011|UT,C2011|UT|m
C2011,17aE2,UT,f,32.29347826086956,859.5,92,44,-0.204876679661988,0.1856800666217394,0.8147477851886294,857.0,943.0,10.035005834305718,C2011|UT,C2011|UT|f
C2011,Met,TJL,m,41.25,767.0,102,54,-0.2601381810304297,0.171003172364421,0.7709450484618149,771.0,859.0,11.413748378728924,C2011|TJL,C2011|TJL|m
C2011,Met,TJL,f,30.795180722891565,890.0,96,48,0.0838130778885803,0.1776734311168632,1.0874256109191798,892.0,858.0,-3.811659192825112,C2011|TJL,C2011|TJL|f
