cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2007,Res,4.0,12,True,182,-1.4191092861403998,-3.2190708330767155,0.11105124950228483
C2007,Res,4.0,18,True,172,-0.664314934472206,-1.448426623845654,0.49395452548391294
C2007,Res,4.0,24,True,142,0.12855315198463083,0.30149418868467304,0.9611567252734613
C2009,17aE2,10.0,6,False,276,-0.1725084343625792,-0.4647805457989897,0.44088198064236944
C2009,17aE2,10.0,12,True,264,-3.1692996720745943,-7.315644283864903,3.052573209358008e-08
C2009,17aE2,10.0,18,True,257,-3.6925473312069155,-8.105667731683582,1.619127273439843e-08
C2009,17aE2,10.0,24,True,218,-3.011505741842434,-7.013750649252236,9.305926188160376e-06
C2009,ACA,4.0,6,True,282,-5.67899434541271,-15.300620524458584,3.184077578803945e-31
C2009,ACA,4.0,12,True,281,-7.243020863621677,-16.718950450079436,3.45255635751621e-35
C2009,ACA,4.0,18,True,270,-7.250494134853179,-15.915868119266971,5.460913024378323e-31
C2009,ACA,4.0,24,True,239,-6.423239237293132,-14.959625593575996,3.818149456662776e-23
C2009,MB,4.0,6,True,281,1.7262413633056215,4.650922756226811,0.015572032936082943
C2009,MB,4.0,12,True,270,2.113799454991671,4.879249834403985,0.0023221600120116918
C2009,MB,4.0,18,True,249,1.3313869869750772,2.9225842137492655,0.07064193618542687
C2009,MB,4.0,24,True,198,0.9543614847443471,2.222693249507745,0.22764276624454982
C2009,Rapa_hi,9.0,6,False,240,0.2586066920859089,0.696750625203245,0.7570347230256796
C2009,Rapa_hi,9.0,12,True,229,-1.59635018779052,-3.6848298787447433,0.0037688139613226497
C2009,Rapa_hi,9.0,18,True,220,-6.917848857478019,-15.18566431981141,2.201565044031132e-29
C2009,Rapa_hi,9.0,24,True,199,-8.235037819617853,-19.1792766825757,1.6209033634528342e-32
C2009,Rapa_lo,9.0,6,False,263,-1.2424456530157761,-3.3474570148873783,0.05946402118944326
C2009,Rapa_lo,9.0,12,True,252,-0.3913506686033337,-0.9033485558279835,0.6257253621122957
C2009,Rapa_lo,9.0,18,True,230,-1.587216514687252,-3.4841664932946554,0.008137346396332493
C2009,Rapa_lo,9.0,24,True,194,-0.6623256894639914,-1.542546364747246,0.3572855248112787
C2009,Rapa_mid,9.0,6,False,254,-0.6618478912781888,-1.7831825167321504,0.23864504129522743
