cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2006,Sim_hi,UM,m,34.34672885981309,846.0,111,54,-0.060966070699472,0.16817469306501043,0.9408551617919986
C2006,Sim_hi,UM,f,26.037931,893.0,88,48,-0.04810285202771632,0.18108348769739901,0.9530357603760278
C2006,Sim_lo,TJL,m,42.06666666666667,726.5,120,60,-0.27327727823807885,0.16921226598677427,0.7608817824166947
C2006,Sim_lo,TJL,f,29.661016949152543,848.0,96,47,0.17659099204399953,0.19297403749211348,1.1931429883396956
C2006,Sim_lo,UM,m,34.34672885981309,846.0,111,53,-0.05466425231269747,0.16900315905418678,0.9468029815059299
C2006,Sim_lo,UM,f,26.037931,893.0,88,48,-0.18764481694448745,0.1819306691393158,0.8289090694093723
C2007,Cur,TJL,m,42.81609195402299,698.0,99,51,-0.14099864128121795,0.17822302022708586,0.8684904917312094
C2007,Cur,TJL,f,30.15909090909091,835.5,98,44,-0.11556814399339246,0.18657040882935721,0.8908598634199845
C2007,Cur,UM,m,36.754761797619054,777.5,96,57,-0.2020690072072216,0.18561713626569273,0.8170385444486805
C2007,Cur,UM,f,28.75348836046512,900.0,91,44,-0.014932895363389506,0.1850381565396897,0.9851780473998354
C2007,GTE,TJL,m,42.81609195402299,698.0,99,51,-0.09438436082316581,0.18365666815279091,0.9099329524398565
C2007,GTE,TJL,f,30.15909090909091,835.5,98,44,0.014268894190642563,0.18995168402226753,1.0143711807878577
C2007,GTE,UM,m,36.754761797619054,777.5,96,51,-0.3406985218923806,0.17695157948934623,0.7112733092174434
C2007,GTE,UM,f,28.75348836046512,900.0,91,42,-0.019816072285564888,0.19025358898130226,0.980378975589214
C2007,MCTO,TJL,m,42.81609195402299,698.0,99,51,-0.01309225715723786,0.17784523375695271,0.9869930736446324
C2007,MCTO,TJL,f,30.15909090909091,835.5,98,44,-0.05937199100482404,0.1858369695202439,0.942356155935312
C2007,MCTO,UM,m,36.754761797619054,777.5,96,51,-0.37876123751948404,0.18283791400889468,0.6847090759884623
C2007,MCTO,UM,f,28.75348836046512,900.0,91,48,-0.16741584765858444,0.18543624077137863,0.8458477943663204
C2007,OAA,TJL,m,42.81609195402299,698.0,99,51,0.14087554833000823,0.1789818378463522,1.151281360180821
C2007,OAA,TJL,f,30.15909090909091,835.5,98,44,-0.15151258967557352,0.18489647507150092,0.8594070625487156
C2007,OAA,UM,m,36.754761797619054,777.5,96,51,-0.2887250784639567,0.1838568485968292,0.7492181532971525
C2007,OAA,UM,f,28.75348836046512,900.0,91,46,-0.1275949375249942,0.1820674209840013,0.8802098469230287
C2007,Res,TJL,m,42.81609195402299,698.0,99,51,-0.11378560735886885,0.17771398984367717,0.8924492699295694
C2007,Res,TJL,f,30.15909090909091,835.5,98,44,-0.14112309999640937,0.18542949981330362,0.8683824072466201
C2007,Res,UM,m,36.754761797619054,777.5,96,51,-0.16237279459868267,0.17546163206457077,0.8501242237407193
C2007,Res,UM,f,28.75348836046512,900.0,91,44,-0.11135362216498015,0.1903086514512228,0.8946223346999497
C2009,17aE2,TJL,m,43.464646464646464,807.0,102,54,-0.06055428774213045,0.17186962846652065,0.9412426696920503
C2009,17aE2,TJL,f,32.71666666666667,785.0,96,48,-0.06970325475092726,0.19947658832241372,0.9326705443985787
C2009,17aE2,UM,m,35.86105234736842,907.0,99,51,-0.2613364361870554,0.18353700240471157,0.770021812828416
C2009,17aE2,UM,f,28.29325835955056,886.5,92,44,0.2055941474509678,0.19024840468391874,1.2282546125594855
C2009,17aE2,UT,m,44.640404060606066,704.0,99,51,-0.6189888432248798,0.1876902558067199,0.5384886588575257
C2009,17aE2,UT,f,34.88804328260869,865.5,92,44,-0.09383607894587812,0.18666452233091058,0.9104319889810706
C2009,ACA,TJL,m,43.464646464646464,807.0,102,54,-0.5867475353609682,0.17173087688125988,0.5561331497907267
C2009,ACA,TJL,f,32.71666666666667,785.0,96,48,-0.22589888413760206,0.20457997443353776,0.7977987676977136
C2009,ACA,UM,m,35.86105234736842,907.0,99,51,-0.3479367049723355,0.18006321993314325,0.7061435701767261
C2009,ACA,UM,f,28.29325835955056,886.5,92,44,-0.2872282653447476,0.18943967854833527,0.7503404325697924
