cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2015,DMAG,TJL,m,39.86813186813187,756.5,102,54,-0.1344133241341759,0.17450041449313297,0.8742286501179329
C2015,DMAG,TJL,f,29.094736842105263,926.0,96,48,0.18538723757083936,0.1828469353047542,1.2036844617383544
C2015,DMAG,UT,m,41.74615389010989,762.0,99,51,-0.30645998841543504,0.17668739170697803,0.7360479680357053
C2015,DMAG,UT,f,31.688636363636366,885.5,92,44,-0.01945970333356287,0.18624366974346115,0.9807284144781967
C2015,Min,TJL,m,39.86813186813187,756.5,102,54,0.1902721252708756,0.17480606511189142,1.209578709809406
C2015,Min,TJL,f,29.094736842105263,926.0,96,48,0.05087612168998278,0.17853996783516546,1.0521925413756452
C2015,Min,UT,m,41.74615389010989,762.0,99,51,-0.05585835684300601,0.17850866411160066,0.9456730745241867
C2015,Min,UT,f,31.688636363636366,885.5,92,44,-0.053050427932799064,0.18732426953993964,0.9483321888445945
C2015,MitoQ,TJL,m,39.86813186813187,756.5,102,54,-0.08113610601496969,0.1736978768724244,0.9220681838775965
C2015,MitoQ,TJL,f,29.094736842105263,926.0,96,48,-0.13803720961346602,0.17931928923562068,0.8710662791032224
C2015,MitoQ,UT,m,41.74615389010989,762.0,99,51,-0.08898986747630455,0.1818918234327312,0.9148548433158668
C2015,MitoQ,UT,f,31.688636363636366,885.5,92,44,0.18681356979313904,0.1868805386587022,1.2054025406559985
C2015,bGPA,TJL,m,39.86813186813187,756.5,102,54,0.08419067183438397,0.17351469530542382,1.0878362937771755
C2015,bGPA,TJL,f,29.094736842105263,926.0,96,48,0.13625076498915156,0.17887242275457307,1.1459692265274943
C2015,bGPA,UT,m,41.74615389010989,762.0,99,51,-0.054095121937754405,0.18302166769321976,0.9473419892100707
C2015,bGPA,UT,f,31.688636363636366,885.5,92,44,-0.12746048251818057,0.18834590244903238,0.8803282035006331
C2015,rapa_hi_continuous,TJL,m,39.86813186813187,756.5,102,54,-0.15292068152174804,0.17747388655470936,0.8581977900545698
C2015,rapa_hi_continuous,TJL,f,29.094736842105263,926.0,96,48,-0.6514216406805078,0.18631479382522043,0.5213041425412811
C2015,rapa_hi_continuous,UT,m,41.74615389010989,762.0,99,51,-0.6387517914398174,0.1884035782465608,0.5279510058987062
C2015,rapa_hi_continuous,UT,f,31.688636363636366,885.5,92,44,-0.8248520077558611,0.19930457598960022,0.43829985264422766
C2015,rapa_hi_cycle,TJL,m,39.86813186813187,756.5,102,54,-0.3392369023726167,0.1828098698168311,0.7123136802982075
C2015,rapa_hi_cycle,TJL,f,29.094736842105263,926.0,96,48,-0.4770828162054319,0.18366312776191243,0.6205911321625186
C2015,rapa_hi_cycle,UT,m,41.74615389010989,762.0,99,51,0.01430294614565275,0.18108646128661252,1.014405722697776
C2015,rapa_hi_cycle,UT,f,31.688636363636366,885.5,92,44,-0.39768654593082875,0.1941300530996978,0.671872595857693
C2015,rapa_hi_start_stop,TJL,m,39.86813186813187,756.5,102,54,0.012963133317341695,0.18761588845180424,1.0130475189699581
C2015,rapa_hi_start_stop,TJL,f,29.094736842105263,926.0,96,48,-0.1469224148438263,0.18082593693260438,0.8633609588127286
