cohort,group,sex,weight_age,within_arm,n,int_hr,int_lo,int_hi,int_p,coef,se
C2017,RaAc_16,f,6,True,277,0.9365622727581447,0.7243269391103394,1.2109847686063795,0.6171627037671988,-0.06553926410513032,0.13111115974069082
C2017,RaAc_9,m,6,True,296,0.8971637015227808,0.6941643875855739,1.1595275149876973,0.4070464115681497,-0.10851693466367181,0.13088482449906672
C2017,RaAc_9,f,6,True,276,1.012183697793782,0.7653039945395202,1.3387044173158147,0.9323467796231784,0.012110073951665074,0.1426517128700017
C2017,Sul,m,12,True,244,1.0431767080687255,0.8100829766067779,1.3433409609659461,0.7432071616414517,0.04227058455288336,0.12902746318537325
C2017,Sul,f,12,True,276,0.944192621539432,0.719710081704323,1.2386928142765101,0.6784488392263279,-0.05742508541072357,0.13851363040000492
C2017,Syr,m,12,True,245,0.7816806089720907,0.6032308727028971,1.0129199318084638,0.0624799465927655,-0.24630905029086878,0.13221989476068513
C2017,Syr,f,12,True,272,0.9929066534817148,0.7614161688175194,1.2947763166880288,0.9580829419367504,-0.007118623905805221,0.13543951715729918
C2018,Fis_Cyc,m,6,True,311,0.8950829046240747,0.6983470189433013,1.147242537617702,0.38143111934434804,-0.11083893413236737,0.12663508400116946
C2018,Fis_Cyc,f,6,True,282,0.964971745470717,0.7550194459464212,1.2333066049571408,0.7757718343762512,-0.035656457376754915,0.12518358418978576
C2018,Fis_On,m,6,True,305,1.277609510705194,0.9894278196731583,1.6497272760973758,0.060316884102711,0.24499076208725856,0.13042036841818216
C2018,Fis_On,f,6,True,286,1.1706314420000379,0.9091885085000563,1.507253952494279,0.2218222195103633,0.15754329724435276,0.12895447337545357
C2018,SG1002,m,6,True,313,1.0090163253652062,0.8031712540692186,1.2676175095850244,0.9385401717147865,0.008975920988060028,0.11641195589784128
C2018,SG1002,f,6,True,281,1.3384528199045393,1.022901146767355,1.7513480718756644,0.03358484544307119,0.29151433487330675,0.13718184896234764
C2019,Asta,m,6,True,309,0.8796193479323486,0.6807426153763269,1.1365972686008472,0.3266666072524234,-0.1282660242583744,0.13077024528341782
C2019,Asta,f,6,True,280,0.9032418573510441,0.689989546994624,1.182403206576868,0.45893216580284546,-0.10176492382918223,0.1374075794677191
C2019,DMF_16,m,6,True,304,1.0486471628825857,0.7998931809743445,1.374759653385477,0.7309783406613546,0.04750091714522828,0.13815458002925746
C2019,DMF_16,f,6,True,282,1.0948106277106284,0.8565343381725132,1.3993721642327548,0.4694758373589262,0.09058140558212606,0.12522795228382852
C2019,DMF_9,m,6,True,306,1.0577042105364156,0.8213262259171743,1.3621118645483021,0.6637679187797165,0.05610072018578806,0.12905115539118273
C2019,DMF_9,f,6,True,283,1.043528124884981,0.8161407800008167,1.3342685160578238,0.7340244699214638,0.042607399625171606,0.12539812769606332
C2019,MPA,m,6,True,303,0.9888276705081462,0.7704652515770292,1.269077560553438,0.9296780487879104,-0.011235208742112134,0.1273112756164527
C2019,MPA,f,6,True,283,0.895373626587766,0.7000819413740123,1.1451429951406655,0.3786713769342799,-0.11051418794481324,0.12553480863925623
C2019,Mec,m,6,True,306,0.9588447282448767,0.7494330871513851,1.226771580605803,0.7381711772436088,-0.04202612727545647,0.12572277691954822
C2019,Mec,f,6,True,283,1.0610973439151672,0.815806608592196,1.3801402947774468,0.6583810876614202,0.059303602751467364,0.13412570649568534
C2019,PBA,m,6,True,308,0.9676428341916765,0.7603646785415432,1.2314257631725891,0.7891393536995336,-0.03289223273530791,0.12299454978162282
C2019,PBA,f,6,True,284,0.8952772587658518,0.6842064111428618,1.1714613558275193,0.4200230856226691,-0.11062182235059878,0.13718303804393556
C2019,SG1002,m,12,True,284,1.0967653359512055,0.8534579527998647,1.409435811334268,0.4704478228478307,0.09236524405391468,0.12797390586472815
C2019,SG1002,f,12,True,279,1.0240744798092483,0.7943656583309421,1.3202088096306774,0.854353304768472,0.02378925816103224,0.12959455226950242
C2020,AKG_18,m,6,True,452,1.1332298321846581,0.9013030395194817,1.4248369263659961,0.284380135264559,0.12507181424071737,0.1168315117521148
C2020,AKG_18,f,6,True,404,0.9189500243401033,0.7398835284676673,1.141354165544962,0.4446623607031256,-0.08452353858379066,0.1105831343127127
C2020,Cana_6,m,12,True,337,0.659770864007129,0.4689619460731479,0.9282151710553004,0.01695628246805995,-0.4158626799878918,0.17417206385900075
C2020,Cana_6,f,12,True,314,0.8481577467989689,0.6149175201538486,1.169866754284577,0.3155000521794984,-0.1646886383216167,0.1640736758203618
C2020,DNP,m,12,True,423,1.0184422115489442,0.8031053586863777,1.2915173918914828,0.8801493158962762,0.01827421629145788,0.12119793295852686
C2020,DNP,f,12,True,401,0.9850651746697168,0.7908852081557703,1.2269206559189583,0.8931427643568183,-0.015047472821621867,0.11201990092094366
C2020,HYD_16,m,6,True,451,1.1067571092299424,0.8801010642574753,1.3917848171953449,0.3856265243681457,0.10143421612874393,0.1169168159687083
C2020,HYD_16,f,6,True,404,0.9194489805233893,0.7504211613986538,1.1265492916135886,0.41778224955490806,-0.08398072258550368,0.10364474069240899
C2020,HYD_6,m,12,True,436,0.948782646025364,0.7532490373346151,1.19507422483303,0.655232407509883,-0.052575541351390996,0.11774901960307631
C2020,HYD_6,f,12,True,399,0.8660596909000582,0.7018542899931671,1.0686824870860396,0.18002875979885458,-0.1438014456587419,0.10726116225223777
C2020,NEBI,m,12,True,431,1.2701925408808,0.9966219176553162,1.6188577256106629,0.05328291586353077,0.23916849597207704,0.12375344589614129
C2020,NEBI,f,12,True,397,0.9978396916734418,0.7914153575814187,1.2581055456413934,0.9854087481622054,-0.002162645158716301,0.11825201957878857
C2020,OH-EST,m,6,True,452,0.9716636185280532,0.7869692095747486,1.1997041003436537,0.7892819381810195,-0.028745605891445977,0.10756348121433501
C2020,OH-EST,f,6,True,404,0.8098392353501378,0.6544209602361258,1.0021677589236417,0.052374047518392426,-0.21091952589077043,0.10871880314938172
C2020,THIO,m,12,True,432,1.1442466154743929,0.9100082059116857,1.438778583005072,0.24890015241367575,0.1347464426922195,0.11686342531059314
C2020,THIO,f,12,True,402,0.7219861844694933,0.5840930895993847,0.8924331752021576,0.002592237710107528,-0.3257492753561933,0.10813751434893731
C2020,Cana_16,m,6,True,400,0.8423454868065722,0.6554056098243084,1.0826058070110292,0.18023613478135547,-0.17156503202434484,0.12803089919963015
C2020,Cana_16,f,6,True,363,0.8481034052854471,0.6666285775432562,1.0789807252301582,0.17986997718392406,-0.16475271042923254,0.12284385575214544
C2021,2BA,m,6,True,457,1.0808733562557722,0.8721866845720969,1.3394921442039558,0.4773713332242532,0.07776937754399663,0.1094515865652416
C2021,2BA,f,6,True,430,1.2505246662734895,1.0153376470496946,1.540189064694341,0.03545208321888709,0.22356319626973892,0.10629888280890967
C2021,DCA,m,6,True,461,1.037695458974954,0.8576741748856155,1.2555022607750206,0.7034756235530804,0.037002349571485675,0.09721267954015904
C2021,DCA,f,6,True,430,1.1352815797113887,0.9297239356843895,1.3862870641092249,0.2131409531169462,0.12688070801610757,0.10191426467188118
C2021,Epi,m,6,True,455,1.0899280978249832,0.8706070013194557,1.3645000058901304,0.45253491714325844,0.08611172876706592,0.11463289044497944
C2021,Epi,f,6,True,430,1.0889266535822835,0.8941380088798944,1.3261501525556871,0.3968792177922983,0.08519248960018565,0.10055676253682236
C2021,For,m,6,True,459,1.109463471556925,0.9012832171910691,1.3657296299773383,0.3272328203189329,0.10387653951091942,0.10602861859310324
C2021,For,f,6,True,430,1.0462651404795364,0.8575360897209495,1.2765302327262757,0.6558691517808679,0.04522681390397302,0.10149106267388926
C2021,Hal,m,6,True,464,1.269915889143915,1.0207924099621224,1.57983773170886,0.03197925470833783,0.23895066925672223,0.11141606314217813
C2021,Hal,f,6,True,430,1.0154376404459162,0.8238207098829663,1.2516237929741436,0.8858309964463239,0.015319692418566665,0.10669688418221883
