population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,Tx,entry,mean,std,weight_42d_z,arm,positive_m,positive_f,mouse
UM-HET3,C2004,UM,f,UM02597,Control,0,,dead,1,929,,,15.2,23.9,27.9,,,0,121.75,16.733962188679246,1.640115255074368,-0.9352770690555479,C2004|Aspirin,True,False,C2004|UM02597
UM-HET3,C2004,UM,f,UM02604,Control,0,,dead,1,938,,,14.6,24.5,26.200001,,,0,121.75,16.733962188679246,1.640115255074368,-1.30110501812416,C2004|Aspirin,True,False,C2004|UM02604
UM-HET3,C2004,UM,f,UM02639,Control,0,,dead,1,496,,,17.6,23.700001,27.0,,,0,121.75,16.733962188679246,1.640115255074368,0.5280347272189027,C2004|Aspirin,True,False,C2004|UM02639
UM-HET3,C2004,UM,f,UM02646,Control,0,,dead,1,868,,,16.6,24.200001,32.599998,,,0,121.75,16.733962188679246,1.640115255074368,-0.08167852122878447,C2004|Aspirin,True,False,C2004|UM02646
UM-HET3,C2004,UM,f,UM02653,Control,0,,dead,1,848,,,15.9,24.5,29.6,,,0,121.75,16.733962188679246,1.640115255074368,-0.5084777951421662,C2004|Aspirin,True,False,C2004|UM02653
UM-HET3,C2004,UM,f,UM02660,Control,0,,dead,1,1125,,,15.4,23.4,25.4,,,0,121.75,16.733962188679246,1.640115255074368,-0.8133344193660097,C2004|Aspirin,True,False,C2004|UM02660
UM-HET3,C2004,UM,f,UM03199,Control,0,,dead,1,945,,,19.700001,37.099998,44.299999,,,0,121.75,16.733962188679246,1.640115255074368,1.8084331586722935,C2004|Aspirin,True,False,C2004|UM03199
UM-HET3,C2004,UM,f,UM03206,Control,0,,dead,1,1146,,,17.799999,32.900002,33.900002,,,0,121.75,16.733962188679246,1.640115255074368,0.6499767671951906,C2004|Aspirin,True,False,C2004|UM03206
UM-HET3,C2004,UM,f,UM03213,Control,0,,dead,1,665,,,16.1,31.1,39.599998,,,0,121.75,16.733962188679246,1.640115255074368,-0.38653514545262807,C2004|Aspirin,True,False,C2004|UM03213
UM-HET3,C2004,UM,f,UM03220,Control,0,,dead,1,1210,,,17.0,27.200001,30.700001,,,0,121.75,16.733962188679246,1.640115255074368,0.16220677815028953,C2004|Aspirin,True,False,C2004|UM03220
